Country,Date,Stock_Index,Index_Value,Daily_Change_Percent,Market_Cap_Trillion_USD,GDP_Growth_Rate_Percent,Inflation_Rate_Percent,Interest_Rate_Percent,Unemployment_Rate_Percent,Currency_Code,Exchange_Rate_USD,Currency_Change_YTD_Percent,Government_Debt_GDP_Percent,Current_Account_Balance_Billion_USD,FDI_Inflow_Billion_USD,Commodity_Index,Oil_Price_USD_Barrel,Gold_Price_USD_Ounce,Bond_Yield_10Y_Percent,Credit_Rating,Political_Risk_Score,Banking_Sector_Health,Real_Estate_Index,Export_Growth_Percent,Import_Growth_Percent
United States,2024-08-15,S&P_500,5437.2,0.34,51.2,2.8,2.9,5.5,3.7,USD,1.00,0.0,126.4,-695.2,456.8,1.12,77.85,2487.50,4.25,AAA,8.1,Strong,145.6,3.2,2.8
China,2024-08-15,Shanghai_Composite,2891.6,-0.82,12.4,5.2,0.8,3.1,5.2,CNY,7.28,2.3,77.1,382.9,189.7,0.98,77.85,2487.50,2.15,A+,6.7,Moderate,98.7,8.9,6.1
Japan,2024-08-15,Nikkei_225,36789.1,1.24,6.8,0.9,2.8,-0.1,2.4,JPY,147.2,-8.9,263.1,49.7,23.4,1.05,77.85,2487.50,0.89,A+,8.4,Strong,89.3,5.1,4.7
Germany,2024-08-15,DAX,18234.5,0.67,2.9,0.3,2.2,4.5,3.1,EUR,0.92,1.8,66.3,297.4,67.8,1.08,77.85,2487.50,2.31,AAA,8.7,Strong,112.4,2.1,1.8
United Kingdom,2024-08-15,FTSE_100,8156.3,-0.15,3.1,1.1,2.0,5.25,4.2,GBP,0.78,-0.9,101.2,-85.6,45.2,1.06,77.85,2487.50,3.89,AA,7.9,Moderate,97.8,0.9,1.2
France,2024-08-15,CAC_40,7389.2,0.28,3.0,1.3,2.3,4.5,7.4,EUR,0.92,1.8,111.8,-22.1,56.7,1.08,77.85,2487.50,2.95,AA,7.3,Moderate,103.2,1.8,2.1
India,2024-08-15,Sensex,80456.7,0.89,4.3,6.8,4.9,6.5,3.2,INR,83.7,-0.5,84.2,-23.1,67.4,1.15,77.85,2487.50,7.04,BBB-,6.8,Moderate,134.8,13.2,10.9
Canada,2024-08-15,TSX,22567.8,0.45,2.8,2.9,2.8,4.75,6.1,CAD,1.37,4.2,106.7,12.8,34.5,1.09,77.85,2487.50,3.42,AAA,8.9,Strong,126.7,4.1,3.8
Brazil,2024-08-15,Bovespa,129834.2,1.67,1.4,2.1,4.5,10.75,7.8,BRL,5.47,-8.9,87.7,-46.9,67.2,0.95,77.85,2487.50,10.84,BB-,5.4,Weak,89.3,8.7,6.9
Australia,2024-08-15,ASX_200,7923.4,0.22,1.8,1.7,3.8,4.35,4.1,AUD,1.52,5.6,45.1,67.8,45.7,1.11,77.85,2487.50,4.07,AAA,8.6,Strong,118.9,6.2,5.4
South Korea,2024-08-15,KOSPI,2634.5,-0.34,1.9,3.1,2.4,3.5,2.9,KRW,1342.5,-2.1,54.6,67.4,12.8,1.02,77.85,2487.50,3.28,AA,7.8,Strong,95.6,9.1,7.8
Russia,2024-08-15,MOEX,2789.1,0.78,0.6,-1.9,7.4,16.0,3.4,RUB,91.2,-15.6,21.4,67.8,8.9,0.87,77.85,2487.50,12.45,BB+,3.2,Weak,67.4,15.2,18.7
Mexico,2024-08-15,IPC,55234.6,0.91,0.7,2.4,4.7,11.0,2.8,MXN,19.8,-10.2,54.7,-12.4,34.7,0.89,77.85,2487.50,9.12,BBB,6.1,Moderate,102.3,7.9,8.2
Italy,2024-08-15,FTSE_MIB,33456.7,0.34,0.9,0.7,1.0,4.5,7.6,EUR,0.92,1.8,144.4,-56.7,28.9,1.08,77.85,2487.50,3.67,BBB,7.1,Moderate,89.7,3.2,2.9
Spain,2024-08-15,IBEX_35,11123.8,0.67,0.8,2.5,3.2,4.5,11.5,EUR,0.92,1.8,107.7,23.4,45.6,1.08,77.85,2487.50,3.21,A,7.8,Moderate,98.3,4.1,3.7
Netherlands,2024-08-15,AEX,889.3,0.12,1.1,0.6,1.1,4.5,3.6,EUR,0.92,1.8,52.4,89.7,78.9,1.08,77.85,2487.50,2.78,AAA,8.8,Strong,134.5,2.8,2.4
Switzerland,2024-08-15,SMI,12234.5,0.28,1.8,1.2,1.4,1.25,2.4,CHF,0.87,6.2,41.0,67.8,23.4,1.13,77.85,2487.50,0.68,AAA,9.1,Strong,142.6,1.9,2.1
Sweden,2024-08-15,OMX_Stockholm,2567.8,0.45,0.7,0.8,1.9,3.75,7.8,SEK,10.9,-4.7,35.1,34.5,12.8,1.07,77.85,2487.50,2.34,AAA,8.9,Strong,119.8,3.4,2.9
Norway,2024-08-15,OSE,1345.6,0.67,0.4,2.1,3.1,4.5,3.4,NOK,11.2,2.8,45.7,78.9,8.9,1.14,77.85,2487.50,3.12,AAA,9.0,Strong,127.3,8.9,6.7
Denmark,2024-08-15,OMXC_20,2234.5,0.23,0.4,1.8,1.7,3.6,5.1,DKK,6.86,1.9,29.8,23.4,5.6,1.08,77.85,2487.50,2.45,AAA,8.9,Strong,124.7,2.1,1.8
Singapore,2024-08-15,STI,3456.7,0.56,0.8,2.6,2.4,3.5,2.1,SGD,1.35,1.2,130.1,67.8,89.7,1.09,77.85,2487.50,3.18,AAA,8.7,Strong,98.9,12.4,11.7
Hong Kong,2024-08-15,Hang_Seng,17234.5,-1.23,4.2,3.2,1.8,5.75,2.8,HKD,7.82,0.1,0.1,34.5,67.8,0.98,77.85,2487.50,3.89,AA+,7.2,Moderate,87.6,6.7,5.9
Taiwan,2024-08-15,TAIEX,22567.8,0.78,2.1,3.8,2.1,1.5,3.7,TWD,32.1,-1.8,28.7,89.7,12.3,1.04,77.85,2487.50,1.23,AA,8.1,Strong,112.4,15.2,13.8
Indonesia,2024-08-15,JCI,7234.5,0.45,0.7,5.1,2.8,6.0,5.4,IDR,15487.0,-2.3,39.8,-12.1,23.4,0.94,77.85,2487.50,7.12,BBB,6.5,Moderate,89.7,8.9,7.3
Thailand,2024-08-15,SET,1567.8,0.34,0.6,2.9,0.4,2.5,1.2,THB,36.2,3.4,61.4,12.8,8.9,0.97,77.85,2487.50,2.67,BBB+,7.1,Moderate,95.3,4.1,3.8
Malaysia,2024-08-15,KLCI,1634.5,0.67,0.5,4.2,2.0,3.0,3.4,MYR,4.67,-6.7,70.1,23.4,12.1,0.91,77.85,2487.50,3.78,A-,7.3,Moderate,87.9,6.7,5.9
Philippines,2024-08-15,PSE,6789.1,0.89,0.3,5.8,3.7,6.5,5.9,PHP,56.3,-8.9,63.5,-8.9,9.8,0.88,77.85,2487.50,6.45,BBB+,6.8,Moderate,78.9,8.1,7.4
Vietnam,2024-08-15,VN_Index,1234.5,1.23,0.3,6.4,4.1,4.5,12.3,VND,24789.0,-3.4,43.1,12.8,15.6,0.85,77.85,2487.50,2.89,BB+,6.2,Moderate,123.4,12.8,14.2
Turkey,2024-08-15,BIST_100,10567.8,2.34,0.3,3.1,64.8,50.0,10.5,TRY,33.7,-35.6,32.1,-45.6,12.8,0.76,77.85,2487.50,28.45,B+,4.8,Weak,67.8,3.4,8.9
South Africa,2024-08-15,JSE,75234.6,0.78,0.4,0.9,4.7,8.25,28.7,ZAR,18.2,-7.8,71.1,8.9,4.5,0.82,77.85,2487.50,11.78,BB-,5.9,Weak,89.3,2.1,1.8
Egypt,2024-08-15,EGX_30,25678.9,1.45,0.03,2.8,33.1,27.25,7.2,EGP,30.9,-49.7,89.7,-18.9,8.9,0.71,77.85,2487.50,19.45,B+,4.2,Weak,56.7,12.3,23.4
Nigeria,2024-08-15,NSE,98765.4,2.1,0.04,3.2,21.8,18.75,5.1,NGN,1567.0,-68.9,37.1,34.5,2.3,0.68,77.85,2487.50,14.67,B-,3.8,Weak,78.9,23.4,34.5
Chile,2024-08-15,IPSA,5678.9,0.67,0.2,2.4,4.1,5.75,8.8,CLP,967.0,-8.9,37.8,23.4,18.9,0.93,77.85,2487.50,5.89,A,7.8,Moderate,95.6,6.7,5.2
Argentina,2024-08-15,Merval,1567890.2,3.45,0.05,-1.6,211.4,133.0,6.2,ARS,945.0,-89.7,78.9,-23.4,4.5,0.45,77.85,2487.50,89.45,CCC+,2.1,Weak,34.5,-12.3,15.6
Colombia,2024-08-15,COLCAP,1234.5,0.89,0.1,1.2,7.2,10.75,10.2,COP,4134.0,-18.9,56.7,-12.1,12.8,0.78,77.85,2487.50,12.34,BB+,5.8,Moderate,87.3,8.9,7.1
Peru,2024-08-15,Lima_General,23456.7,1.12,0.08,2.8,2.8,5.75,6.4,PEN,3.78,-6.7,34.2,8.9,6.7,0.91,77.85,2487.50,6.78,BBB+,6.7,Moderate,98.7,9.8,8.2
UAE,2024-08-15,ADX,9876.5,0.34,0.7,3.9,1.9,5.4,2.8,AED,3.67,0.0,34.5,67.8,23.4,1.06,77.85,2487.50,4.12,AA,8.2,Strong,134.5,23.4,18.9
Saudi Arabia,2024-08-15,Tadawul,12345.6,0.56,2.8,1.1,-0.4,6.0,5.8,SAR,3.75,0.0,26.7,34.5,8.9,1.18,77.85,2487.50,4.23,A-,6.9,Moderate,98.7,12.3,8.9
Israel,2024-08-15,TA_125,1987.3,-0.78,0.4,2.0,2.3,4.75,3.4,ILS,3.68,-2.1,60.9,23.4,18.9,1.03,77.85,2487.50,4.56,A+,6.8,Moderate,89.7,5.6,4.2